[Fri Oct 11 10:11:40.315575 2019] [core:warn] [pid 1] AH00045: child process 20 still did not exit, sending a SIGTERM
[Fri Oct 11 10:11:40.315584 2019] [core:warn] [pid 1] AH00045: child process 21 still did not exit, sending a SIGTERM
[Fri Oct 11 10:11:40.315592 2019] [core:warn] [pid 1] AH00045: child process 22 still did not exit, sending a SIGTERM
[Fri Oct 11 10:11:40.315601 2019] [core:warn] [pid 1] AH00045: child process 23 still did not exit, sending a SIGTERM
[Fri Oct 11 10:11:40.315610 2019] [core:warn] [pid 1] AH00045: child process 547 still did not exit, sending a SIGTERM
[Fri Oct 11 10:11:42.317740 2019] [core:warn] [pid 1] AH00045: child process 16 still did not exit, sending a SIGTERM
[Fri Oct 11 10:11:42.317785 2019] [core:warn] [pid 1] AH00045: child process 17 still did not exit, sending a SIGTERM
[Fri Oct 11 10:11:42.317797 2019] [core:warn] [pid 1] AH00045: child process 18 still did not exit, sending a SIGTERM
[Fri Oct 11 10:11:42.317807 2019] [core:warn] [pid 1] AH00045: child process 19 still did not exit, sending a SIGTERM
[Fri Oct 11 10:11:42.317818 2019] [core:warn] [pid 1] AH00045: child process 20 still did not exit, sending a SIGTERM
[Fri Oct 11 10:11:42.317828 2019] [core:warn] [pid 1] AH00045: child process 21 still did not exit, sending a SIGTERM
[Fri Oct 11 10:11:42.317839 2019] [core:warn] [pid 1] AH00045: child process 22 still did not exit, sending a SIGTERM
[Fri Oct 11 10:11:42.317849 2019] [core:warn] [pid 1] AH00045: child process 23 still did not exit, sending a SIGTERM
[Fri Oct 11 10:11:42.317860 2019] [core:warn] [pid 1] AH00045: child process 547 still did not exit, sending a SIGTERM
[Fri Oct 11 10:11:44.465530 2019] [mpm_prefork:notice] [pid 1] AH00169: caught SIGTERM, shutting down
[Mon Oct 14 01:10:10.831757 2019] [mpm_prefork:notice] [pid 1] AH00163: Apache/2.4.25 (Debian) PHP/7.2.10 OpenSSL/1.0.2l configured -- resuming normal operations
[Mon Oct 14 01:10:10.890507 2019] [core:notice] [pid 1] AH00094: Command line: 'apache2 -D FOREGROUND'
[Mon Oct 14 10:09:11.200795 2019] [core:warn] [pid 1] AH00045: child process 297 still did not exit, sending a SIGTERM
[Mon Oct 14 10:09:11.907975 2019] [core:warn] [pid 1] AH00045: child process 18 still did not exit, sending a SIGTERM
[Mon Oct 14 10:09:11.907994 2019] [core:warn] [pid 1] AH00045: child process 19 still did not exit, sending a SIGTERM
[Mon Oct 14 10:09:11.908002 2019] [core:warn] [pid 1] AH00045: child process 20 still did not exit, sending a SIGTERM
[Mon Oct 14 10:09:11.908010 2019] [core:warn] [pid 1] AH00045: child process 21 still did not exit, sending a SIGTERM
[Mon Oct 14 10:09:11.908018 2019] [core:warn] [pid 1] AH00045: child process 296 still did not exit, sending a SIGTERM
[Mon Oct 14 10:09:11.908026 2019] [core:warn] [pid 1] AH00045: child process 202 still did not exit, sending a SIGTERM
[Mon Oct 14 10:09:11.908034 2019] [core:warn] [pid 1] AH00045: child process 203 still did not exit, sending a SIGTERM
[Mon Oct 14 10:09:11.908042 2019] [core:warn] [pid 1] AH00045: child process 204 still did not exit, sending a SIGTERM
[Mon Oct 14 10:09:11.908049 2019] [core:warn] [pid 1] AH00045: child process 205 still did not exit, sending a SIGTERM
[Mon Oct 14 10:09:12.909093 2019] [core:warn] [pid 1] AH00045: child process 297 still did not exit, sending a SIGTERM
[Mon Oct 14 10:09:12.909133 2019] [core:warn] [pid 1] AH00045: child process 18 still did not exit, sending a SIGTERM
[Mon Oct 14 10:09:12.909143 2019] [core:warn] [pid 1] AH00045: child process 19 still did not exit, sending a SIGTERM
[Mon Oct 14 10:09:12.909151 2019] [core:warn] [pid 1] AH00045: child process 20 still did not exit, sending a SIGTERM
[Mon Oct 14 10:09:12.909159 2019] [core:warn] [pid 1] AH00045: child process 21 still did not exit, sending a SIGTERM
[Mon Oct 14 10:09:12.909168 2019] [core:warn] [pid 1] AH00045: child process 296 still did not exit, sending a SIGTERM
[Mon Oct 14 10:09:12.909177 2019] [core:warn] [pid 1] AH00045: child process 202 still did not exit, sending a SIGTERM
[Mon Oct 14 10:09:12.909185 2019] [core:warn] [pid 1] AH00045: child process 203 still did not exit, sending a SIGTERM
[Mon Oct 14 10:09:12.909193 2019] [core:warn] [pid 1] AH00045: child process 204 still did not exit, sending a SIGTERM
[Mon Oct 14 10:09:12.909201 2019] [core:warn] [pid 1] AH00045: child process 205 still did not exit, sending a SIGTERM
[Mon Oct 14 10:09:14.911320 2019] [core:warn] [pid 1] AH00045: child process 297 still did not exit, sending a SIGTERM
[Mon Oct 14 10:09:14.911357 2019] [core:warn] [pid 1] AH00045: child process 18 still did not exit, sending a SIGTERM
[Mon Oct 14 10:09:14.911365 2019] [core:warn] [pid 1] AH00045: child process 19 still did not exit, sending a SIGTERM
[Mon Oct 14 10:09:14.911373 2019] [core:warn] [pid 1] AH00045: child process 20 still did not exit, sending a SIGTERM
[Mon Oct 14 10:09:14.911381 2019] [core:warn] [pid 1] AH00045: child process 21 still did not exit, sending a SIGTERM
[Mon Oct 14 10:09:14.911389 2019] [core:warn] [pid 1] AH00045: child process 296 still did not exit, sending a SIGTERM
[Mon Oct 14 10:09:14.911397 2019] [core:warn] [pid 1] AH00045: child process 202 still did not exit, sending a SIGTERM
[Mon Oct 14 10:09:14.911405 2019] [core:warn] [pid 1] AH00045: child process 203 still did not exit, sending a SIGTERM
[Mon Oct 14 10:09:14.911412 2019] [core:warn] [pid 1] AH00045: child process 204 still did not exit, sending a SIGTERM
[Mon Oct 14 10:09:14.911420 2019] [core:warn] [pid 1] AH00045: child process 205 still did not exit, sending a SIGTERM
[Mon Oct 14 10:09:16.913549 2019] [core:error] [pid 1] AH00046: child process 297 still did not exit, sending a SIGKILL
[Mon Oct 14 10:09:16.913598 2019] [core:error] [pid 1] AH00046: child process 18 still did not exit, sending a SIGKILL
[Mon Oct 14 10:09:16.913613 2019] [core:error] [pid 1] AH00046: child process 19 still did not exit, sending a SIGKILL
[Mon Oct 14 10:09:16.913630 2019] [core:error] [pid 1] AH00046: child process 20 still did not exit, sending a SIGKILL
[Mon Oct 14 10:09:16.917374 2019] [core:error] [pid 1] AH00046: child process 21 still did not exit, sending a SIGKILL
